run_id,stress_GPa,SlFin_MPa,SlFin_pt_MPa,VtiLin,VtiSat,SSlin,SSSat,gmLin,gmSat,IdLin_norm,IdSat_norm,Ioff_norm,DIBL_mV_V
G40_F0,-1.801,-1801,-2787,-0.476,-0.414,79.382,120.668,3.559e-05,1.015e-04,1.861e-04,5.141e-04,1.304e-10,82.7
G40_F10,-1.956,-1956,-2814,-0.471,-0.403,80.984,106.763,3.884e-05,1.077e-04,2.040e-04,5.615e-04,2.067e-10,90.7
G40_F20,-2.018,-2018,-2797,-0.467,-0.392,85.778,118.191,3.992e-05,1.097e-04,2.083e-04,5.909e-04,7.468e-10,100.0
G40_F30,-2.03,-2030,-2739,-0.466,-0.375,103.550,234.509,3.888e-05,1.084e-04,2.004e-04,5.992e-04,2.345e-08,121.3
G40_F35,-2.026,-2026,-2707,-0.466,-0.365,117.572,318.474,3.877e-05,1.081e-04,1.993e-04,6.019e-04,1.045e-07,134.7
G30_F0,-1.346,-1346,-2115,-0.489,-0.422,80.442,105.125,3.352e-05,9.576e-05,1.724e-04,4.723e-04,1.065e-10,89.3
G30_F10,-1.471,-1471,-2139,-0.484,-0.411,82.051,102.791,3.648e-05,1.015e-04,1.886e-04,5.148e-04,1.819e-10,97.3
G30_F20,-1.523,-1523,-2130,-0.479,-0.399,87.201,119.984,3.767e-05,1.036e-04,1.931e-04,5.427e-04,7.292e-10,106.7
G30_F30,-1.536,-1536,-2088,-0.478,-0.381,107.347,244.884,3.670e-05,1.024e-04,1.864e-04,5.521e-04,2.667e-08,129.3
G30_F35,-1.533,-1533,-2065,-0.478,-0.369,123.848,333.566,3.658e-05,1.022e-04,1.855e-04,5.555e-04,1.226e-07,145.3
