Ge_percent,FR_nm,run_id,SlFin_MPa,SlFin_pt_MPa,VtiSat,VtiLin,IdSat_norm,IdLin_norm,SSlin,SSSat,gmSat,gmLin,Ioff_norm,_pending,stress_GPa,ste,DIBL_mV_V,owner,source,warn,has_photo,n_photos,has_notes,notes_preview
30.0,0.0,G30_F0,-1346.0,-2115.0,-0.422,-0.489,0.000472,0.000172,80.442,105.125,9.58e-05,3.35e-05,1.07e-10,False,-1.346,0.5934744268077601,89.33333333333333,주수빈,주수빈_Ge스윕.csv,,True,2,True,"## 무엇을 바꿨나
- Ge=0.30 / FR=0 조건. `stress_ZZ_field.png` 신규 추가 — SVisual StressZZ 단면 캡처. Ge% 비교용 5장 세트(G30/40/50/60/70_F0) 중 하나이며, 전부 동일한 컬러 스케일(0 ~ -3.6e9 Pa, 눈금 …"
30.0,10.0,G30_F10,-1471.0,-2139.0,-0.411,-0.484,0.0005148,0.0001886,82.051,102.791,0.0001015,3.648e-05,1.819e-10,,-1.471,0.6485890652557319,97.3,주수빈,주수빈_G낮은열.csv,,False,0,False,
30.0,20.0,G30_F20,-1523.0,-2130.0,-0.399,-0.479,0.0005427,0.0001931,87.201,119.984,0.0001036,3.767e-05,7.292e-10,,-1.523,0.6715167548500881,106.7,주수빈,주수빈_G낮은열.csv,,False,0,False,
30.0,30.0,G30_F30,-1536.0,-2088.0,-0.381,-0.478,0.0005521,0.0001864,107.347,244.884,0.0001024,3.67e-05,2.667e-08,,-1.536,0.6772486772486772,129.3,주수빈,주수빈_G낮은열.csv,,False,0,False,
30.0,35.0,G30_F35,-1533.0,-2065.0,-0.369,-0.478,0.0005555,0.0001855,123.848,333.566,0.0001022,3.658e-05,1.226e-07,,-1.533,0.6759259259259258,145.3,주수빈,주수빈_G낮은열.csv,,False,0,False,
40.0,0.0,G40_F0,-1801.0,-2787.0,-0.414,-0.476,0.000514,0.000186,79.382,120.668,0.000102,3.56e-05,1.3e-10,False,-1.801,0.5955687830687829,82.66666666666667,주수빈,주수빈_Ge스윕.csv,,True,2,True,"## 무엇을 바꿨나
- Ge=0.40 / FR=0 조건. `stress_ZZ_field.png` 신규 추가 — SVisual StressZZ 단면 캡처. Ge% 비교용 5장 세트(G30/40/50/60/70_F0) 중 하나이며, 전부 동일한 컬러 스케일(0 ~ -3.6e9 Pa, 눈금 …"
40.0,10.0,G40_F10,-1956.0,-2814.0,-0.403,-0.471,0.0005615,0.000204,80.984,106.763,0.0001077,3.884e-05,2.067e-10,,-1.956,0.6468253968253967,90.7,주수빈,주수빈_G낮은열.csv,,False,0,False,
40.0,20.0,G40_F20,-2018.0,-2797.0,-0.392,-0.467,0.0005909,0.0002083,85.778,118.191,0.0001097,3.992e-05,7.468e-10,,-2.018,0.6673280423280421,100.0,주수빈,주수빈_G낮은열.csv,,False,0,False,
40.0,30.0,G40_F30,-2030.0,-2739.0,-0.375,-0.466,0.0005992,0.0002004,103.55,234.509,0.0001084,3.888e-05,2.345e-08,,-2.03,0.6712962962962962,121.3,주수빈,주수빈_G낮은열.csv,,False,0,False,
40.0,35.0,G40_F35,-2026.0,-2707.0,-0.365,-0.466,0.0006019,0.0001993,117.572,318.474,0.0001081,3.877e-05,1.045e-07,,-2.026,0.6699735449735448,134.7,주수빈,주수빈_G낮은열.csv,,False,0,False,
50.0,0.0,G50_F0,-2262.0,-3482.0,-0.403,-0.462,0.000557,0.000198,78.499,183.484,0.000106,3.68e-05,2.41e-10,False,-2.262,0.5984126984126984,78.66666666666666,유용성,유용성_G중간열.csv,,True,5,True,"## 무엇을 바꿨나
- 2026-08-19: `stress_ZZ_field.png` 추가 — SVisual StressZZ 단면 캡처. Ge% 비교용 5장 세트(G30/40/50/60/70_F0) 중 하나, 전부 동일 컬러 스케일(0 ~ -3.6e9 Pa) 사용. 이 점의 stress_…"
50.0,10.0,G50_F10,-2449.0,-3511.0,-0.392,-0.456,0.00061,0.000218,80.15,136.106,0.000113,4.03e-05,3.39e-10,False,-2.449,0.6478835978835978,85.33333333333333,유용성,유용성_G중간열.csv,,False,0,False,
50.0,20.0,G50_F20,-2521.0,-3484.0,-0.38,-0.453,0.000641,0.000222,84.699,125.189,0.000115,4.14e-05,9.68e-10,False,-2.521,0.6669312169312168,97.33333333333334,유용성,유용성_G중간열.csv,,False,0,False,
50.0,30.0,G50_F30,-2532.0,-3407.0,-0.365,-0.452,0.000647,0.000213,100.607,227.861,0.000113,4.04e-05,2.41e-08,False,-2.532,0.6698412698412698,116.00000000000003,유용성,유용성_G중간열.csv,,False,0,False,
50.0,35.0,G50_F35,-2525.0,-3365.0,-0.355,-0.452,0.00065,0.000212,112.93,311.045,0.000113,4.03e-05,1.05e-07,False,-2.525,0.6679894179894179,129.33333333333337,유용성,유용성_G중간열.csv,,False,0,False,
60.0,0.0,G60_F0,-2730.0,-4193.0,-0.388,-0.444,0.000606,0.000211,77.424,247.66,0.000111,3.77e-05,4.07e-10,False,-2.73,0.6018518518518517,74.66666666666666,남다연,남다연_Ge스윕.csv,,True,2,True,"## 무엇을 바꿨나
- Ge=0.60 / FR=0 조건. `stress_ZZ_field.png` 신규 추가 — SVisual StressZZ 단면 캡처. Ge% 비교용 5장 세트(G30/40/50/60/70_F0) 중 하나이며, 전부 동일한 컬러 스케일(0 ~ -3.6e9 Pa, 눈금 …"
60.0,10.0,G60_F10,-2948.0,-4223.0,-0.377,-0.438,0.0006631,0.0002316,79.114,159.694,0.0001174,4.144e-05,5.281e-10,,-2.948,0.6499118165784832,81.3,남다연,남다연_G높은열.csv,,False,0,False,
60.0,20.0,G60_F20,-3030.0,-4185.0,-0.366,-0.435,0.000695,0.0002354,83.276,130.53,0.0001194,4.291e-05,1.245e-09,,-3.03,0.6679894179894179,92.0,남다연,남다연_G높은열.csv,,False,0,False,
60.0,30.0,G60_F30,-3040.0,-4089.0,-0.353,-0.435,0.0006999,0.0002255,95.874,215.392,0.0001178,4.198e-05,2.064e-08,,-3.04,0.6701940035273368,109.3,남다연,남다연_G높은열.csv,,False,0,False,
60.0,35.0,G60_F35,-3030.0,-4038.0,-0.346,-0.436,0.0007007,0.000224,104.491,292.164,0.0001175,4.189e-05,8e-08,,-3.03,0.6679894179894179,120.0,남다연,남다연_G높은열.csv,,False,0,False,
